,text,name,favourite_count,retweet_count,created_at
62,"RT @porktendencia: #DisculpateABCCOLOR y
#ApologizeABCCOLOR :
 Debido a que ABC Digital, de Paraguay, compartió un artículo, firmado por la…",☀️ʀᴏᴜꜱ;ᴀɴɴʏ🇲🇽🌻🐿️ BUTTER 3ra SEMANA #1,0,13,2021-06-18 00:03:05
63,"RT @H0biXsprite_uwu: @NguyenKhuyen_tw @thanh01112002 EXIGIMOS UNA DISCULPA

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibert…",∞°^°∞ →NguyenKhuyen 🥺🔥←,0,2,2021-06-18 00:02:47
64,RT @BEJinjinara: Como army hemos venido soportando diversos ataques de medios extranjeros por simplemente defender a bangt4n de ataques xen…,Taenella×BTSᵇᵉ🧈💛💜SWEET NIGHT #118 🐯🐻🍓💜,0,3687,2021-06-18 00:01:21
65,RT @paola37601802: Yo esperando a que Bighitentertainment demande a ABCCOLOR #DisculpateABCCOLOR https://t.co/To7k5AtvWC,Shay,0,19,2021-06-18 00:01:04
66,"RT @dooly_king: ""El prejuicio es hijo de la ignorancia."" — William Hazlitt

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibert…",siefy,0,1863,2021-06-18 00:01:01
67,"RT @minpark_taekook: Si cree que ARMY dejará esto pasar, esta muy equivocado, basta de burlas, su xenofobia no lo puede hacer ver más estúp…",ꜥ jime ࣪ ⋆♡̶ 💭,0,43,2021-06-18 00:00:10
68,"RT @min_zel09: El hombre que se burló de estos chicos, ya emitió su ""disculpa"", sin embargo, su disculpa estaba llena de más burlas e insul…",Verónica de Jesús,0,3,2021-06-17 23:59:47
69,"RT @StephArmyH: Quieren respeto pero no aprende a respetar el trabajo duro de los demás.

EXIGIMOS UNA DISCULPA! 
#DisculpateMikeSilvero #D…",Blanca,0,36,2021-06-17 23:59:11
70,RT @BEJinjinara: Como army hemos venido soportando diversos ataques de medios extranjeros por simplemente defender a bangt4n de ataques xen…,Jungkook,0,3687,2021-06-17 23:59:00
71,"@jimiarmy2013 @mikeotr Ahhhh lo acabo de ver 🤬😡😤🤯😱😨😰 #DisculpateMikeSilvero #DisculpateABCCOLOR #disculpateMikeservero 
Difundan para hacerlo viral y que de una disculpa de verdad!!! 
Firmen la petición! https://t.co/O3jwPQ0nTP",LADY_V ⟭⟬⁷∞,0,0,2021-06-17 23:58:40
72,"RT @min_zel09: El hombre que se burló de estos chicos, ya emitió su ""disculpa"", sin embargo, su disculpa estaba llena de más burlas e insul…",♡,0,3,2021-06-17 23:57:57
73,"Silvero pida disculpas porque lo que Army esta haciendo en este momento no es nada comparado con lo que se viene despues ademas todo lo que hablo nos nada chistoso piense antes de hablar 😊
#CANCELMIKESILVERO #APOLOGIZETOBANGTAN #DisculpateABCCOLOR #DisculpateMikeSilvero https://t.co/u7YO1W0qxv",KooKi_Jin,1,0,2021-06-17 23:57:02
74,"RT @min_zel09: El hombre que se burló de estos chicos, ya emitió su ""disculpa"", sin embargo, su disculpa estaba llena de más burlas e insul…",L.H.A Perez,0,3,2021-06-17 23:56:34
75,"#ApologizeABCCOLOR 
#DisculpateABCCOLOR 
#DisculpateMikeSilvero 
No puedo ni razonar x que existe gente como el innombrable 🙄
Bueno un gif para que aprecien la belleza natural de nuestro gatito 🤩 https://t.co/R8ZC9OgPcL",teresa alvaro,2,1,2021-06-17 23:55:49
